CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,Casual,6,?,CA,Yes,La Jolla,TRUE,?,?,N,N,N,N,N,University of California - San Diego,N,N,N,-117.242949,Yes,Yes,?,No,No,No,?,Yes,Yes,7,Average,No,32.890154,?,low
No,Casual,39,?,IN,Yes,Lafayette,TRUE,No,Yes,N,Y,N,Y,Y,Purdue University,Y,Y,Y,-86.890404,No,Yes,No,Full Bar,Yes,No,No,Yes,Yes,20,Average,Yes,40.418999,No,high
?,Casual,2,?,IN,Yes,West Lafayette,TRUE,Yes,?,N,N,N,N,Y,Purdue University,N,N,Y,-86.90516,No,Yes,?,Full Bar,Yes,No,Yes,No,Yes,7,Quiet,Yes,40.421603,No,low
?,Casual,27,?,IL,Yes,Champaign,TRUE,?,?,N,Y,N,N,N,University of Illinois - Urbana-Champaign,Y,Y,N,-88.230301,No,Yes,?,No,No,No,?,Yes,Yes,7,Loud,No,40.1101,?,high
?,Casual,9,?,TX,Yes,Austin,TRUE,?,?,N,N,N,N,N,University of Texas - Austin,Y,N,N,-97.736322,Yes,Yes,Free,No,No,No,?,Yes,Yes,7,?,Yes,30.286749,?,low
?,Casual,12,?,TX,Yes,Austin,FALSE,?,?,N,N,N,N,N,University of Texas - Austin,Y,Y,N,-97.744803,Yes,Yes,?,Full Bar,Yes,Yes,?,Yes,Yes,7,?,?,30.286701,?,high
?,Casual,248,?,PA,Yes,Philadelphia,TRUE,?,Yes,N,N,N,N,N,University of Pennsylvania,N,Y,N,-75.195383,No,Yes,No,Full Bar,Yes,No,?,No,Yes,45,Average,Yes,39.953978,?,high
?,Casual,13,?,NY,Yes,Ithaca,TRUE,?,No,N,N,N,N,N,Cornell University,Y,Y,N,-76.492492,No,Yes,Free,No,Yes,No,?,Yes,Yes,7,Quiet,Yes,42.439323,?,low
?,Casual,189,?,WA,No,Seattle,TRUE,?,No,N,Y,N,N,N,University of Washington,Y,Y,N,-122.313206,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,47.657435,?,high
?,Casual,6,?,TX,Yes,Houston,TRUE,?,Yes,N,N,N,N,N,Rice University,Y,Y,N,-95.402076,No,No,No,No,No,Yes,?,Yes,Yes,7,Average,No,29.709876,?,low
?,Casual,62,?,NY,Yes,Troy,TRUE,?,Yes,N,Y,N,N,N,Rensselaer Polytechnic Institute,Y,Y,N,-73.689175,Yes,Yes,No,Full Bar,Yes,No,?,Yes,Yes,20,Loud,Yes,42.734613,?,high
No,Casual,61,?,RI,Yes,Providence,TRUE,No,No,Y,Y,N,Y,N,Brown University,Y,Y,Y,-71.409293,Yes,Yes,No,Full Bar,Yes,No,Yes,No,Yes,20,Average,Yes,41.828261,No,high
No,Casual,25,?,PA,Yes,Philadelphia,TRUE,No,No,N,Y,N,Y,Y,University of Pennsylvania,N,N,Y,-75.200897,No,Yes,?,Full Bar,Yes,Yes,Yes,No,Yes,7,Very Loud,Yes,39.954601,No,high
?,Casual,3,?,IL,Yes,Urbana,TRUE,?,No,N,N,N,N,N,University of Illinois - Urbana-Champaign,N,N,N,-88.221298,No,No,No,No,No,No,?,No,Yes,7,Quiet,No,40.116199,?,low
?,?,2,?,MA,?,Cambridge,TRUE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.086321,?,?,?,?,?,?,?,?,?,?,?,?,42.361825,?,low
?,Casual,25,?,IL,Yes,Champaign,TRUE,?,No,N,N,N,N,N,University of Illinois - Urbana-Champaign,Y,N,N,-88.233218,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,40.110113,?,high
?,Casual,223,?,TX,Yes,Austin,TRUE,?,No,N,Y,N,N,N,University of Texas - Austin,Y,Y,N,-97.741985,No,No,Free,No,Yes,No,?,Yes,Yes,7,Average,No,30.28182,?,high
